requirement_id,requirement,spec_sections,release,acceptance_gates,status,interpretation
FR-022,"Support bounded negation, optionality, alternatives, repetitions, counts, and interval relations. | Must",14,H0/R1,"AC02,AC08",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-030,Return complete exact query-to-cohort matches under the selected semantic and temporal policy. | Must,15-17,H0/R1,AC05,specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-031,Return ranked semantic-temporal query-to-cohort matches with score decomposition. | Must,15-17,H0/R1,AC05,specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-032,Return categorized near misses without changing the exact cohort result. | Should,15-17,H0/R1,AC05,specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-040,Generate all-pairs top-k or threshold patient-neighbour graphs without exhaustive alignment by default. | Must,18,R2,AC10,specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-041,Support exact trajectory-identity grouping using canonical hashes. | Must,18,R2,AC10,specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-042,Support incremental patient-neighbour updates and scheduled reconciliation builds. | Should,18,R2,AC10,specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-043,Measure candidate recall against exhaustive results on governed benchmark subsets. | Must,18,R2,AC10,specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-050,"Persist event, semantic, temporal, alignment, score, and execution evidence. | Must",19,H0/R1,AC06,specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-051,Export reproducibility manifests and authorized result formats. | Must,19,H0/R1,AC06,specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-060,"Enforce purpose, access, minimum-cohort, field-level, retention, and export policies. | Must",23,R3,"AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-061,"Audit all sensitive reads, writes, configuration changes, and exports. | Must",23,R3,"AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-070,"Provide a configurable web workspace with dockable, resizable, saveable, and deep-linkable views. | Must",20,R1,AC09,specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-071,"Keep visual, guided-form, DSL, and JSON expression representations synchronized through one canonical AST. | Must",20,R1,AC09,specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-072,"Provide ontology search, hierarchy browsing, inferred-breadth preview, mapping evidence, and semantic-policy selection. | Must",20,R1,AC09,specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-073,"Provide virtualized cohort results, bounded neighbour-graph exploration, pair comparison, and evidence inspection. | Must",20,R1,AC09,specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-074,"Provide governed workspace sharing, review annotations, manifest previews, and controlled asynchronous exports. | Should",20,R1,AC09,specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-075,"Expose textual alternatives and full keyboard workflows for core expression, result, timeline, and graph tasks. | Must",20,R1,AC09,specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-080,"Publish immutable OCI images, a local Docker Compose profile, and a versioned Helm chart for each release. | Must",23,R3,"AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-081,"Externalize state, configuration, secrets, identity, storage, queue, audit, and telemetry through documented interfaces. | Must",23,R3,"AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-082,"Support separate scaling and priority for interactive, batch, ingestion, and semantic-compilation workloads. | Must",23,R3,"AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-083,"Support health probes, graceful drain, resumable jobs, rolling upgrades, and a tested rollback procedure. | Must",23,R3,"AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-084,"Publish SBOMs and image provenance; enforce non-root, read-only, least-capability container operation. | Must",23,R3,"AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-085,"Implement and deploy the supported ontology pipeline without Java, a JVM, or Java-only conversion and reasoning tools. | Must",23,R3,"AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-001,"Correctness | Certified exact mode must be sound and complete relative to the declared data, expression, certified reasoning operation, and semantic policy. Exploratory DL mode must preserve sound positive consequences and report incomplete negatives as UNKNOWN_OR_INCOMPLETE.",21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-002,Determinism | Exact runs are deterministic; approximate runs record seeds and index settings and remain stable within documented tolerance.,21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-003,Performance | Meet the reference workload targets below or publish a capacity-qualified alternative.,21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-004,"Scalability | Partition ingestion, indexing, candidate generation, alignment, and graph publication independently.",21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-005,Availability | Interactive read services target 99.9% monthly availability excluding approved maintenance.,21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-006,"Resilience | Batch jobs are idempotent, partitioned, resumable, and safe under worker retry.",21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-007,"Observability | Expose latency, candidate counts, pruning, recall estimates, score drift, cache use, failures, and resource utilization.",21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-008,Security | No raw identifiers or sensitive clinical payloads in application logs or metrics.,21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-009,Interoperability | Adapters preserve source meaning and provenance; internal APIs use versioned schemas.,21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-010,"Accessibility | Any analyst interface supports keyboard navigation, clear focus order, non-colour-only meaning, and exportable evidence.",21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-011,"UI performance | The supported desktop experience remains responsive through server paging, virtualization, progressive loading, and bounded visualizations.",21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-012,Portability | The release runs with Docker Compose and on conformant Kubernetes clusters without provider-specific application code.,21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-013,"Operability | All services expose consistent health, metrics, logs, traces, build information, and configuration fingerprints.",21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-014,Upgrade safety | Supported upgrades preserve active jobs and workspaces or fail before activation with a compatibility explanation.,21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-015,"Supply chain | Images and charts are reproducible, scanned, signed, accompanied by SBOMs, and pinned by digest in governed environments.",21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
NFR-016,Technology constraint | Production images and supported build paths use only the declared Rust/Python ontology stack and contain no Java or JVM dependency.,21-25,R1-R3,"AC05,AC09,AC11,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
TKG-001,Define qualified temporal assertions and snapshot interpretation,4,H0/R1,AC04,specified,
TKG-002,"Separate logical truth, computation and record-query eligibility",5,H0/R1,AC01,specified,
TKG-003,Preserve clocks and jointly feasible uncertain endpoints,6,H0/R1,"AC02,AC08",specified,
SULO-001,Publish proposed extension with examples and profile diagnostics,7,H0/R1,"AC04,AC12",specified,
ETL-001,Reconcile every source row with typed transformation outcomes,10-12,H0/R1,AC03,specified,
ETL-002,Do not promote Synthea prescriptions or MIMIC withheld doses to administration,"11,12",H0/R1,AC03,specified,
MATCH-001,Explicit directional semantic alternative and capped temporal cost,"15,17",H0/R1,"AC01,AC02",specified,
EVAL-001,"Separate candidate recall, clinical validity and source fidelity",24,H0/R1,"AC05,AC10",specified,
UC-001,"Lead with kidney, heart failure and longitudinal diabetes examples",2,H0/Clinical study,"AC07,AC15",specified,Version 2.1 addition; not implementation-verified.
REFINE-001,Start from bounded query by example and preserve explicit profile and feature coverage,"2,18,20",H0/R1,"AC07,AC13",specified,Version 2.1 addition; not implementation-verified.
REFINE-002,Version and branch refinements; distinguish ranking changes from eligibility and compare membership,"2,19-21",H0/R1,AC13,specified,Version 2.1 addition; not implementation-verified.
REFINE-003,Run promoted trajectory queries against declared base population unless saved-subset scope is explicit,"2,20",H0/R1,AC13,specified,Version 2.1 addition; not implementation-verified.
TIME-001,Normalize typed dates instants durations units and clocks with source provenance,"6,10,13",H0/R1,AC14,specified,Version 2.1 addition; not implementation-verified.
TIME-002,Preserve calendar age precision top coding and reference times,"6,12",H0/R1,AC14,specified,Version 2.1 addition; not implementation-verified.
TIME-003,Resolve relative anchors and preserve uncertainty dependencies and observation scope,"6,10",R1,AC14,specified,Version 2.1 addition; not implementation-verified.
TIME-004,Handle timezones DST elapsed/calendar differences and unsupported precision without invented values,6,H0/R1,AC14,specified,Version 2.1 addition; not implementation-verified.
CLIN-001,Use available full MIMIC-IV subset under a versioned clinical exploration protocol,"9,12,24",Clinical study,AC15,specified,Version 2.1 addition; not implementation-verified.
CLIN-002,Separate pre-index retrieval from follow-up outcomes and held-out evaluation,"2,12,18,24",Clinical study,"AC10,AC15",specified,Version 2.1 addition; not implementation-verified.
UI-001,"Coordinate reference history, explicit criteria, results and evidence through one versioned query AST.","20,14",R1,"AC09,AC13",specified,Version 2.2 design requirement; no UI implementation or usability result is claimed.
UI-002,"Distinguish Must match, Prefer similar, Ignore and Hide from view; expose eligibility versus ranking effects.","20,2,18",H0/R1,"AC07,AC13",specified,Version 2.2 design requirement; no UI implementation or usability result is claimed.
UI-003,"Provide keyboard and numeric alternatives to event selection, relation dragging and index adjustment.",20,R1,AC09,specified,Version 2.2 design requirement; no UI implementation or usability result is claimed.
UI-004,Changing index rules recomputes every patient index and pre-index eligibility without future-information leakage.,"20,12,18",H0/R1,"AC10,AC13,AC15",specified,Version 2.2 design requirement; no UI implementation or usability result is claimed.
UI-005,Display semantic alternatives as reviewed named policies with cost and event context.,"20,8,17",H0/R1,"AC01,AC06",specified,Version 2.2 design requirement; no UI implementation or usability result is claimed.
UI-006,"Expose typed elapsed, calendar, age, relative-anchor and uncertain clock meanings in editing and evidence.","20,6",H0/R1,AC14,specified,Version 2.2 design requirement; no UI implementation or usability result is claimed.
UI-007,Bind asynchronous results to revision and request identity; prevent obsolete response overwrite and distinguish partial or unresolved states.,"20,21",R1,"AC09,AC13",specified,Version 2.2 design requirement; no UI implementation or usability result is claimed.
UI-008,Report comparable membership deltas and search scope; displayed top-k neighbours do not silently become the cohort universe.,"20,2,18",H0/R1,AC13,specified,Version 2.2 design requirement; no UI implementation or usability result is claimed.
UI-009,Explain selected alignments and costs; near-match suggestions revalidate hard constraints and qualify optimality claims.,"20,19",R1,"AC06,AC16",specified,Version 2.2 design requirement; no UI implementation or usability result is claimed.
UI-010,"Keep outcomes separate from similarity and show censoring, denominators and exploratory revision labels.","20,12,24",H0/R1,"AC15,AC16",specified,Version 2.2 design requirement; no UI implementation or usability result is claimed.
UI-011,Preserve branch lineage and frozen replay manifests while keeping view preferences separate from semantic revisions.,"20,21",R1,AC13,specified,Version 2.2 design requirement; no UI implementation or usability result is claimed.
UI-012,"Implement accessible reflow, focus, text alternatives, target sizing and status messages with manual verification.","20,24",R1,AC09,specified,Version 2.2 design requirement; no UI implementation or usability result is claimed.
UI-013,Validate eight-state prototype and critical interpretation tasks against declared formative-study targets.,"20,24,25",R1,AC16,specified,Version 2.2 design requirement; no UI implementation or usability result is claimed.
UI-014,"Keep autosave, annotations, exports and shared evidence authorized; avoid persistent patient browser cache and payload telemetry.","20,23",R1/R3,"AC09,AC11",specified,Version 2.2 design requirement; no UI implementation or usability result is claimed.
TRP-001,"Keep distinct observations separate from duplicate records, state changes and assertion corrections.","4,22",H0/R1,"AC03,AC17",specified,Version 2.3 requirement; no replay implementation or Graphiti benchmark result is claimed.
TRP-002,Preserve source-linked predecessor and successor assertions; new ingestion alone cannot authorize supersession.,"4,5,22",R1,AC17,specified,Version 2.3 requirement; no replay implementation or Graphiti benchmark result is claimed.
TRP-003,"Keep clinical, source recording, source availability and product transaction metadata typed; unknowns remain explicit.","4,6,20",H0/R1,"AC14,AC17",specified,Version 2.3 requirement; no replay implementation or Graphiti benchmark result is claimed.
TRP-004,"Reconstruct source-as-known and retrospective views through separately labelled, versioned policies.","4,20,21",R1,AC17,specified,Version 2.3 requirement; no replay implementation or Graphiti benchmark result is claimed.
TRP-005,Report replay coverage independently of computation completeness and preserve unresolved membership.,"5,20",R1,AC17,specified,Version 2.3 requirement; no replay implementation or Graphiti benchmark result is claimed.
TRP-006,"Bind replay controls, cache keys, asynchronous results and frozen manifests to full temporal and semantic identity.","20,21",R1,"AC13,AC17",specified,Version 2.3 requirement; no replay implementation or Graphiti benchmark result is claimed.
TRP-007,"Explain source, query and policy differences across comparable replay runs and recompute derived indices.",20,R1,"AC13,AC17",specified,Version 2.3 requirement; no replay implementation or Graphiti benchmark result is claimed.
TRP-008,"Provide accessible replay controls and verify interpretation of repeated measurements, correction and late availability.","20,24",R1,"AC09,AC16,AC17",specified,Version 2.3 requirement; no replay implementation or Graphiti benchmark result is claimed.
TRP-009,"Keep optional contextual retrieval subordinate to canonical evidence, ontology and complete cohort contracts.",22,Optional,AC18,specified,Version 2.3 requirement; no replay implementation or Graphiti benchmark result is claimed.
TRP-010,Pin and evaluate the optional Graphiti adapter on the bounded synthetic comparison before adoption.,"22,24,26",Optional,AC18,specified,Version 2.3 requirement; no replay implementation or Graphiti benchmark result is claimed.
TRP-011,Retain source spans and interpretation provenance for narrative proposals without bypassing structured ETL or review.,"22,23",Optional,"AC03,AC18",specified,Version 2.3 requirement; no replay implementation or Graphiti benchmark result is claimed.
PS-001,Represent patient participation with a PRO role and bearer; preserve the role binding,addenda/specification-2.4.md,2.4,AC19-PRO-SOLID,implemented_and_fixture_verified_bounded_profile,test_pro_chain_is_derived_without_losing_role_binding;test_generic_participation_is_insufficient; see declared limitations in v2.4 addendum
PS-002,Use hasValue only on typed information objects; no specialized instance properties,addenda/specification-2.4.md,2.4,AC19-PRO-SOLID,implemented_and_fixture_verified_bounded_profile,test_specialized_literal_property_rejected;test_literal_directly_on_person_rejected;test_extension_declares_no_specialized_properties; see declared limitations in v2.4 addendum
PS-003,Bind the measurement result and measured subject within its process context,addenda/specification-2.4.md,2.4,AC19-PRO-SOLID,implemented_and_fixture_verified_bounded_profile,test_wrong_measurement_subject_rejected;test_sparql_example_keeps_subject_and_result_context; see declared limitations in v2.4 addendum
PS-004,Require one recorded scalar value and one supported concentration unit,addenda/specification-2.4.md,2.4,AC19-PRO-SOLID,implemented_and_fixture_verified_bounded_profile,test_multiple_literal_values_rejected;test_missing_unit_rejected;test_wrong_unit_dimension_rejected; see declared limitations in v2.4 addendum
PS-005,Convert mg/L to mg/dL without losing original values or decimal digits,addenda/specification-2.4.md,2.4,AC19-PRO-SOLID,implemented_and_fixture_verified_bounded_profile,test_exact_normalized_trajectory_and_existing_event_schema;test_unit_conversion_preserves_long_decimal; see declared limitations in v2.4 addendum
PS-006,Normalize explicitly zoned anchor datetimes and reject unresolved timezone or unsupported precision,addenda/specification-2.4.md,2.4,AC19-PRO-SOLID,implemented_and_fixture_verified_bounded_profile,test_timezone_equivalence;test_unzoned_datetime_not_silently_utc;test_submicrosecond_time_rejected; see declared limitations in v2.4 addendum
PS-007,"Preserve record identity, source hashes, snapshot identity and graph projection evidence",addenda/specification-2.4.md,2.4,AC19-PRO-SOLID,implemented_and_fixture_verified_bounded_profile,test_identical_observation_values_remain_distinct_records;test_source_row_hash_and_snapshot_retained;test_graph_roundtrip_preserves_evidence_and_values; see declared limitations in v2.4 addendum
PS-008,Integrate with existing matcher DTOs and retain entailment versus relaxation distinction,addenda/specification-2.4.md,2.4,AC19-PRO-SOLID,implemented_and_fixture_verified_bounded_profile,test_exact_normalized_trajectory_and_existing_event_schema;test_subclass_entailment_is_exact;test_reviewed_semantic_relaxation_has_cost; see declared limitations in v2.4 addendum
PS-009,Reject invalid role context and unsupported statuses before graph projection,addenda/specification-2.4.md,2.4,AC19-PRO-SOLID,implemented_and_fixture_verified_bounded_profile,test_multiple_patient_roles_even_for_same_bearer;test_role_reuse_across_processes;test_not_given_is_not_ingested_as_occurrence; see declared limitations in v2.4 addendum
PS-010,"Separate closed-world profile validation, limited derivation and query acceptance",addenda/specification-2.4.md,2.4,AC19-PRO-SOLID,implemented_and_fixture_verified_bounded_profile,test_named_sulo_disjointness_is_checked;test_same_patient_bearer_required_across_trajectory;test_incomplete_source_scope_remains_unresolved; see declared limitations in v2.4 addendum
